"Имя счёта";"Номер карты";"Дата операции";"Сумма операции";"Валюта операции";"Сумма в валюте счёта";"Валюта счёта";"Статус";"Категория по-умолчанию";"Ваша категория";"MCC";"Описание";"Сообщение";"Округление";"Сумма операции с округлением";"Бонусы (включая кэшбэк)";"Учёт в аналитике"
"Main";"*1111";"05.08.2026 10:00:00";"-100,00";"RUB";"-100,00";"RUB";"Ок";"Супермаркеты";"";"5411";"Shop One";"";"0,00";"-100,00";"1,00";"Да"
"Main";"*1111";"05.08.2026 12:00:00";"-42,00";"RUB";"-42,00";"RUB";"Ок";"Супермаркеты";"";"5812";"Cafe Two";"";"0,00";"-42,00";"0,00";"Да"
"Main";"*1111";"05.08.2026 10:00:00";"-100,00";"RUB";"-100,00";"RUB";"Ок";"Супермаркеты";"";"5411";"Shop One";"";"0,00";"-100,00";"1,00";"Да"
"Main";"*1111";"06.08.2026 09:00:00";"-5000,00";"RUB";"-5000,00";"RUB";"Ок";"Переводы";"";"";"Между своими счетами";"";"0,00";"-5000,00";"0,00";"Нет"
"Savings";"*2222";"06.08.2026 09:00:01";"5000,00";"RUB";"5000,00";"RUB";"Ок";"Переводы";"";"";"Между своими счетами";"";"0,00";"5000,00";"0,00";"Нет"
"Main";"*1111";"07.08.2026 09:00:00";"-700,00";"RUB";"-700,00";"RUB";"Ок";"Переводы";"";"";"Между своими счетами";"";"0,00";"-700,00";"0,00";"Нет"
"Outside";"*3333";"07.08.2026 09:00:01";"700,00";"RUB";"700,00";"RUB";"Ок";"Переводы";"";"";"Между своими счетами";"";"0,00";"700,00";"0,00";"Нет"
"Outside";"*3333";"08.08.2026 12:00:00";"-250,00";"RUB";"-250,00";"RUB";"Ок";"Супермаркеты";"";"5411";"Shop Two";"";"0,00";"-250,00";"0,00";"Да"
"Main";"*1111";"09.08.2026 08:00:00";"12000,00";"RUB";"12000,00";"RUB";"Ок";"Пополнения";"";"";"Someone Outside";"";"0,00";"12000,00";"0,00";"Да"
"Savings";"";"10.08.2026 03:00:00";"12,34";"RUB";"12,34";"RUB";"Ок";"Проценты";"";"";"Interest paid";"";"0,00";"12,34";"0,00";"Да"
"Main";"*1111";"11.08.2026 09:00:00";"350,00";"RUB";"350,00";"RUB";"Ок";"Бонусы";"";"";"Cashback credited";"";"0,00";"350,00";"0,00";"Да"
"Main";"*1111";"12.08.2026 09:00:00";"-2000,00";"RUB";"-2000,00";"RUB";"Ок";"Переводы";"";"";"Elsewhere Self";"";"0,00";"-2000,00";"0,00";"Да"
"Main";"*1111";"13.08.2026 14:00:00";"80,00";"RUB";"80,00";"RUB";"Ок";"Супермаркеты";"";"5411";"Shop One";"";"0,00";"80,00";"0,00";"Да"
